Config,Algo,Preset,Lr,Dim,Alpha,Factor,Caption
exp-1027-sd15-lokrf8-lr5e-3,lokr,attn-mlp,0.005,10000,1,8,.txt
exp-1033-sd15-nt-attnonly,full,attn-only,1e-06,N/A,N/A,N/A,.txt
exp-1012-sd15-loha16a8,loha,attn-mlp,0.0005,16,8,N/A,.txt
exp-1023-sd15-lokrconf12,lokr,attn-mlp,0.0005,10000,1,12,.txt
exp-1018-sd15-loha4a2-lr1e-4,loha,attn-mlp,0.0001,4,2,N/A,.txt
exp-1034-sd15-nt-lr5e-6,full,attn-mlp,5e-06,N/A,N/A,N/A,.txt
exp-1013-sd15-loha16a1,loha,attn-mlp,0.0005,16,1,N/A,.txt
exp-1006-sd15-lora8a4-lr1e-4,lora,attn-mlp,0.0001,8,4,N/A,.txt
exp-1017-sd15-loha4a2-lr5e-3,loha,attn-mlp,0.005,4,2,N/A,.txt
exp-1022-sd15-lokrf4,lokr,attn-mlp,0.0005,10000,1,4,.txt
exp-1001-sd15-lora8a4,lora,attn-mlp,0.0005,8,4,N/A,.txt
exp-1037-sd15-nt-full-lr5e-6,full,full,5e-06,N/A,N/A,N/A,.txt
exp-1007-sd15-lora8a4-lr5e-5,lora,attn-mlp,5e-05,8,4,N/A,.txt
exp-1005-sd15-lora8a4-attnonly,lora,attn-only,0.0005,8,4,N/A,.txt
exp-1038-sd15-nt-lr1e-5,full,attn-mlp,1e-05,N/A,N/A,N/A,.txt
exp-1004-sd15-lora8a4-full,lora,full,0.0005,8,4,N/A,.txt
exp-1021-sd15-lokrf8,lokr,attn-mlp,0.0005,10000,1,8,.txt
exp-1016-sd15-loha4a2-lr1e-3,loha,attn-mlp,0.001,4,2,N/A,.txt
exp-1003-sd15-lora32a1,lora,attn-mlp,0.0005,32,1,N/A,.txt
exp-1026-sd15-lokrf8-lr1e-3,lokr,attn-mlp,0.001,10000,1,8,.txt
exp-1014-sd15-loha4a2-full,loha,full,0.0005,4,2,N/A,.txt
exp-1008-sd15-lora8a4-lr1e-3,lora,attn-mlp,0.001,8,4,N/A,.txt
exp-1032-sd15-nt-full,full,full,1e-06,N/A,N/A,N/A,.txt
exp-1015-sd15-loha4a2-attnonly,loha,attn-only,0.0005,4,2,N/A,.txt
exp-1031-sd15-nt,full,attn-mlp,1e-06,N/A,N/A,N/A,.txt
exp-1002-sd15-lora32a16,lora,attn-mlp,0.0005,32,16,N/A,.txt
exp-1028-sd15-lokrf8-lr1e-4,lokr,attn-mlp,0.0001,10000,1,8,.txt
exp-1011-sd15-loha4a2,loha,attn-mlp,0.0005,4,2,N/A,.txt
exp-1036-sd15-nt-attnonly-lr5e-6,full,attn-only,5e-06,N/A,N/A,N/A,.txt
exp-1025-sd15-lokrf8-attnonly,lokr,attn-only,0.0005,10000,1,8,.txt
exp-1024-sd15-lokr8-full,lokr,full,0.0005,10000,1,8,.txt
exp-1035-sd15-nt-lr5e-7,full,attn-mlp,5e-07,N/A,N/A,N/A,.txt
exp-3034-sd15-nt-lr5e-6-alltags,full,attn-mlp,5e-06,N/A,N/A,N/A,.txttags
exp-3021-sd15-lokrf8-alltags,lokr,attn-mlp,0.0005,10000,1,8,.txttags
exp-2001-sd15-lora8a4-db,lora,attn-mlp,0.0005,8,4,N/A,.txtdb
exp-2034-sd15-nt-lr5e-6-db,full,attn-mlp,5e-06,N/A,N/A,N/A,.txtdb
exp-3011-sd15-loha4a2-alltags,loha,attn-mlp,0.0005,4,2,N/A,.txttags
exp-3001-sd15-lora8a4-alltags,lora,attn-mlp,0.0005,8,4,N/A,.txttags
exp-2031-sd15-lokrf8-db,lokr,attn-mlp,0.0005,10000,1,8,.txtdb
exp-2021-sd15-loha4a2-db,loha,attn-mlp,0.0005,4,2,N/A,.txtdb
